mobilizacao,ponto_acidente,distancia_metros,frequencia_acidentes
86,0,1958.0,16.0
227,1,1184.9000244140625,15.0
86,2,1747.199951171875,12.0
86,3,1005.5999755859375,10.0
227,4,1763.699951171875,9.0
86,5,1348.699951171875,8.0
227,6,3207.0,8.0
86,7,1836.800048828125,8.0
86,8,1307.5,7.0
86,9,1474.800048828125,6.0
86,10,856.7000122070312,6.0
86,11,1485.800048828125,6.0
98,12,2421.60009765625,6.0
440,13,1839.9000244140625,6.0
86,14,812.5,6.0
86,15,2726.89990234375,6.0
98,16,1620.300048828125,5.0
86,17,2009.5999755859375,5.0
227,18,3218.300048828125,5.0
86,19,1084.0999755859375,5.0
440,20,1358.800048828125,5.0
227,21,3504.60009765625,5.0
86,22,1606.0999755859375,5.0
86,23,1236.300048828125,5.0
86,24,1219.300048828125,5.0
440,25,2905.60009765625,5.0
86,26,1125.5,5.0
86,27,971.0999755859375,5.0
86,28,1034.9000244140625,5.0
227,29,1762.0,5.0
86,30,329.3999938964844,5.0
86,31,735.0,5.0
86,32,208.1999969482422,5.0
98,33,2466.800048828125,5.0
440,34,2500.39990234375,4.0
86,35,1292.300048828125,4.0
227,36,989.9000244140625,4.0
98,37,377.6000061035156,4.0
440,38,5014.0,4.0
440,39,2655.0,4.0
227,40,1442.9000244140625,4.0
440,41,208.60000610351562,4.0
98,42,1235.5999755859375,4.0
210,43,3245.10009765625,4.0
86,44,978.5,4.0
210,45,3360.5,4.0
86,46,1293.0999755859375,4.0
86,47,880.9000244140625,4.0
440,48,1641.5,4.0
86,49,718.7999877929688,4.0
86,50,572.2000122070312,4.0
440,51,1783.0999755859375,4.0
86,52,2126.39990234375,4.0
98,53,1526.199951171875,4.0
210,54,2077.699951171875,4.0
210,55,2567.0,4.0
98,56,2151.199951171875,4.0
86,57,2471.199951171875,4.0
210,58,717.7999877929688,4.0
86,59,1904.300048828125,4.0
86,60,1368.199951171875,4.0
210,61,982.5999755859375,4.0
86,62,870.2000122070312,4.0
440,63,2607.800048828125,4.0
210,64,1993.0999755859375,4.0
86,65,618.2000122070312,4.0
86,66,2011.0,4.0
98,67,1776.699951171875,4.0
98,68,2561.5,4.0
227,69,1263.5999755859375,4.0
440,70,1580.9000244140625,4.0
227,71,634.4000244140625,4.0
440,72,1603.800048828125,4.0
86,73,1100.5999755859375,4.0
86,74,1835.800048828125,4.0
86,75,858.0,4.0
86,76,552.4000244140625,4.0
86,77,1609.300048828125,4.0
210,78,1448.4000244140625,4.0
86,79,255.89999389648438,4.0
86,80,877.5999755859375,4.0
86,81,952.2999877929688,4.0
86,82,1506.199951171875,4.0
98,83,4693.89990234375,4.0
227,84,1988.0,4.0
