Ordem,No
0,924
1,5211
2,5209
3,5204
4,1898
5,9490
6,4472
7,4468
8,10708
9,4465
10,4462
11,4460
12,9497
13,4457
14,4455
15,4452
16,4450
17,8975
18,4447
19,4454
20,1718
21,1017
22,117
23,10113
24,4369
25,4382
26,5235
27,4290
28,4294
29,4298
30,10692
31,4366
32,5350
33,1660
34,5340
35,5313
36,1661
37,1801
38,8847
39,1686
40,1802
41,1803
42,1805
43,5312
44,1809
45,1810
46,81
47,1792
48,1806
49,82
50,11431
51,1804
52,2101
53,1701
54,1828
55,1702
56,1704
57,1706
58,1552
59,83
60,11430
61,2119
62,6775
63,1529
64,7550
65,2205
66,11369
67,2214
68,2209
69,4355
70,10637
71,5651
72,10734
73,10639
74,10643
75,5659
76,5693
77,2217
78,2157
79,2155
80,8643
81,5702
82,5709
83,5680
84,2165
85,2160
86,253
87,11991
88,1356
89,8673
90,11061
91,8714
92,1351
93,1350
94,1351
95,1348
96,259
97,8673
98,1356
99,11991
100,2166
101,5733
102,5725
103,5717
104,5709
105,5702
106,8643
107,2155
108,2157
109,2208
110,5724
111,10641
112,10638
113,2202
114,2212
115,11706
116,7552
117,7553
118,11781
119,7549
120,11726
121,7546
122,6632
123,9834
124,2216
125,8235
126,8237
127,5684
128,6778
129,5700
130,4110
131,4114
132,4121
133,5722
134,5730
135,2219
136,8878
137,8834
138,9668
139,1843
140,9672
141,8239
142,9666
143,1570
144,1559
145,5616
146,5601
147,5590
148,5574
149,5560
150,5539
151,5525
152,5509
153,5495
154,9907
155,4315
156,4311
157,4309
158,4307
159,10121
160,1540
161,4395
162,4370
163,4383
164,4398
165,4371
166,1545
167,1546
168,4390
169,4365
170,5223
171,4376
172,4489
173,9422
174,11038
175,9491
176,11036
177,9712
178,4478
179,4480
180,4483
181,4486
182,4488
183,4491
184,1899
185,1896
186,1719
187,1891
188,1050
189,9486
190,5211
191,924
