ID_Origem,OSM_Node_ID,Logradouro,Bairro,Latitude,Longitude,Frequencia_Acidentes,ID_Destino,Distancia_Metros
0,339115576,JOAO NAVES DE AVILA,SANTA MONICA,-18.916813,-48.260045,16.0,0,0.0
0,339115576,JOAO NAVES DE AVILA,SANTA MONICA,-18.916813,-48.260045,16.0,1777,86.3
0,339115576,JOAO NAVES DE AVILA,SANTA MONICA,-18.916813,-48.260045,16.0,1903,196.3
1,3074037184,RONDON PACHECO,TABAJARAS,-18.931362,-48.283561,15.0,1,0.0
1,3074037184,RONDON PACHECO,TABAJARAS,-18.931362,-48.283561,15.0,132,85.1
1,3074037184,RONDON PACHECO,TABAJARAS,-18.931362,-48.283561,15.0,1788,108.4
2,1414447400,JOAO NAVES DE AVILA,SARAIVA,-18.912062,-48.259887,12.0,2,0.0
2,1414447400,JOAO NAVES DE AVILA,SARAIVA,-18.912062,-48.259887,12.0,2794,112.7
2,1414447400,JOAO NAVES DE AVILA,SARAIVA,-18.912062,-48.259887,12.0,10772,74.0
3,1727920475,OLEGARIO MACIEL,CENTRO,-18.919615,-48.280505,10.0,3,0.0
3,1727920475,OLEGARIO MACIEL,CENTRO,-18.919615,-48.280505,10.0,26,119.9
3,1727920475,OLEGARIO MACIEL,CENTRO,-18.919615,-48.280505,10.0,201,153.6
4,2670412024,NICOMEDES ALVES DOS SANTOS,JARDIM KARAIBA,-18.949047,-48.273832,9.0,4,0.0
4,2670412024,NICOMEDES ALVES DOS SANTOS,JARDIM KARAIBA,-18.949047,-48.273832,9.0,7232,55.6
4,2670412024,NICOMEDES ALVES DOS SANTOS,JARDIM KARAIBA,-18.949047,-48.273832,9.0,13180,82.6
5,2042694268,RONDON PACHECO,LIDICE,-18.924601,-48.272875,8.0,5,0.0
5,2042694268,RONDON PACHECO,LIDICE,-18.924601,-48.272875,8.0,427,175.3
5,2042694268,RONDON PACHECO,LIDICE,-18.924601,-48.272875,8.0,10492,67.5
6,10197834526,VINHEDOS,JARDIM KARAIBA,-18.952345,-48.268841,8.0,6,0.0
6,10197834526,VINHEDOS,JARDIM KARAIBA,-18.952345,-48.268841,8.0,11432,9.8
7,2783757296,ANSELMO ALVES DOS SANTOS,SARAIVA,-18.913957,-48.26194,8.0,7,0.0
7,2783757296,ANSELMO ALVES DOS SANTOS,SARAIVA,-18.913957,-48.26194,8.0,2189,81.2
7,2783757296,ANSELMO ALVES DOS SANTOS,SARAIVA,-18.913957,-48.26194,8.0,6903,17.0
8,2783757282,RONDON PACHECO,CAZECA,-18.917478,-48.265522,7.0,8,0.0
8,2783757282,RONDON PACHECO,CAZECA,-18.917478,-48.265522,7.0,207,155.7
8,2783757282,RONDON PACHECO,CAZECA,-18.917478,-48.265522,7.0,5608,57.5
9,7962635992,NICODEMOS ALVES DOS SANTOS,SARAIVA,-18.921605,-48.262764,6.0,9,0.0
9,7962635992,NICODEMOS ALVES DOS SANTOS,SARAIVA,-18.921605,-48.262764,6.0,1930,5.4
10,339121605,TUBAL VILELA,CENTRO,-18.922063,-48.276742,6.0,10,0.0
10,339121605,TUBAL VILELA,CENTRO,-18.922063,-48.276742,6.0,27,114.4
10,339121605,TUBAL VILELA,CENTRO,-18.922063,-48.276742,6.0,239,75.1
11,2670473877,GETULIO VARGAS,OSVALDO RESENDE,-18.919443,-48.28462,6.0,11,0.0
11,2670473877,GETULIO VARGAS,OSVALDO RESENDE,-18.919443,-48.28462,6.0,1642,13.7
11,2670473877,GETULIO VARGAS,OSVALDO RESENDE,-18.919443,-48.28462,6.0,13270,88.9
12,338667182,GERALDO ABRAO,JARDIM INCONFIDENCIA,-18.939554,-48.248446,6.0,12,0.0
