ID_Origem,OSM_Node_ID,Logradouro,Latitude,Longitude,Indice_Periculosidade,ID_Destino,Distancia_Metros
0,1561880264,Rua Ivaldo Alves do Nascimento,-18.904267,-48.271403,0,0,0
0,1561880264,Rua Ivaldo Alves do Nascimento,-18.904267,-48.271403,0,11513,14.9
1,1561880307,Rua Ivaldo Alves do Nascimento,-18.904767,-48.270668,0,1,0
1,1561880307,Rua Ivaldo Alves do Nascimento,-18.904767,-48.270668,0,3527,93.7
1,1561880307,Rua Ivaldo Alves do Nascimento,-18.904767,-48.270668,0,3533,95.5
2,1561880384,Rua Ivaldo Alves do Nascimento,-18.905295,-48.269888,0,2,0
2,1561880384,Rua Ivaldo Alves do Nascimento,-18.905295,-48.269888,0,3410,93.4
2,1561880384,Rua Ivaldo Alves do Nascimento,-18.905295,-48.269888,0,6864,107.6
3,1561880481,Rua Ivaldo Alves do Nascimento,-18.906076,-48.268726,0,3,0
3,1561880481,Rua Ivaldo Alves do Nascimento,-18.906076,-48.268726,0,2069,41.4
4,1561880579,Rua Ivaldo Alves do Nascimento,-18.906946,-48.267462,0,4,0
4,1561880579,Rua Ivaldo Alves do Nascimento,-18.906946,-48.267462,0,6,176.7
5,1561880697,Rua Ivaldo Alves do Nascimento,-18.907778,-48.266212,0,5,0
5,1561880697,Rua Ivaldo Alves do Nascimento,-18.907778,-48.266212,0,774,111.3
5,1561880697,Rua Ivaldo Alves do Nascimento,-18.907778,-48.266212,0,4709,96.4
5,1561880697,Rua Ivaldo Alves do Nascimento,-18.907778,-48.266212,0,7604,84
6,2042691716,Rua Ivaldo Alves do Nascimento,-18.903598,-48.272421,0,6,0
6,2042691716,Rua Ivaldo Alves do Nascimento,-18.903598,-48.272421,0,9231,5.3
7,2042692008,Rua Ivaldo Alves do Nascimento,-18.908756,-48.264767,0,7,0
7,2042692008,Rua Ivaldo Alves do Nascimento,-18.908756,-48.264767,0,10562,60.3
8,258371569,Avenida Joaquim Ribeiro,-18.941459,-48.231937,0,8,0
8,258371569,Avenida Joaquim Ribeiro,-18.941459,-48.231937,0,6978,9.9
8,258371569,Avenida Joaquim Ribeiro,-18.941459,-48.231937,0,6980,55.6
8,258371569,Avenida Joaquim Ribeiro,-18.941459,-48.231937,0,6983,69
9,258371570,Avenida Jaime de Barros,-18.937797,-48.228987,0,9,0
9,258371570,Avenida Jaime de Barros,-18.937797,-48.228987,0,2135,21.3
9,258371570,Avenida Jaime de Barros,-18.937797,-48.228987,0,6639,132.5
10,258372904,Avenida Jaime de Barros,-18.942665,-48.232889,0,10,0
10,258372904,Avenida Jaime de Barros,-18.942665,-48.232889,0,11,148.8
10,258372904,Avenida Jaime de Barros,-18.942665,-48.232889,0,6983,98.4
10,258372904,Avenida Jaime de Barros,-18.942665,-48.232889,0,6985,86.8
10,258372904,Avenida Jaime de Barros,-18.942665,-48.232889,0,6988,76.2
11,258372909,Avenida Geraldo Abrão,-18.943427,-48.234019,0,10,148.8
11,258372909,Avenida Geraldo Abrão,-18.943427,-48.234019,0,11,0
11,258372909,Avenida Geraldo Abrão,-18.943427,-48.234019,0,6792,9.2
11,258372909,Avenida Geraldo Abrão,-18.943427,-48.234019,0,12371,15.9
12,258372920,Alameda Raul Petronilho Pádua,-18.944992,-48.234713,0,12,0
12,258372920,Alameda Raul Petronilho Pádua,-18.944992,-48.234713,0,6789,14.1
12,258372920,Alameda Raul Petronilho Pádua,-18.944992,-48.234713,0,6790,21.9
12,258372920,Alameda Raul Petronilho Pádua,-18.944992,-48.234713,0,8306,219.4
13,258372932,Rua Jurandi André de Oliveira,-18.9414,-48.238875,0,13,0
13,258372932,Rua Jurandi André de Oliveira,-18.9414,-48.238875,0,248,214.5
13,258372932,Rua Jurandi André de Oliveira,-18.9414,-48.238875,0,8253,58.7
13,258372932,Rua Jurandi André de Oliveira,-18.9414,-48.238875,0,8255,7.7
14,258376140,Avenida Aspirante Mega,-18.929409,-48.300558,5,14,0
14,258376140,Avenida Aspirante Mega,-18.929409,-48.300558,5,3090,82.6
14,258376140,Avenida Aspirante Mega,-18.929409,-48.300558,5,6599,44.5
15,258376149,Avenida Getúlio Vargas,-18.939699,-48.307791,0,15,0
15,258376149,Avenida Getúlio Vargas,-18.939699,-48.307791,0,2258,73.3
15,258376149,Avenida Getúlio Vargas,-18.939699,-48.307791,0,3079,174.2
16,258376150,Rua Sem Nome,-18.94869,-48.313747,0,16,0
16,258376150,Rua Sem Nome,-18.94869,-48.313747,0,4567,13.9
17,258381108,Rua Afonso Egídio de Souza,-18.869178,-48.292118,0,17,0
17,258381108,Rua Afonso Egídio de Souza,-18.869178,-48.292118,0,7918,13.3
17,258381108,Rua Afonso Egídio de Souza,-18.869178,-48.292118,0,7919,93.5
18,258381109,Rua Sem Nome,-18.869737,-48.292809,0,18,0
18,258381109,Rua Sem Nome,-18.869737,-48.292809,0,7918,96.6
18,258381109,Rua Sem Nome,-18.869737,-48.292809,0,7919,13.3
19,258383015,Avenida Monsenhor Eduardo,-18.909149,-48.27538,0,19,0
19,258383015,Avenida Monsenhor Eduardo,-18.909149,-48.27538,0,9060,73.3
20,258383040,Avenida Cesário Crosara,-18.901945,-48.280045,0,20,0
20,258383040,Avenida Cesário Crosara,-18.901945,-48.280045,0,394,47.1
20,258383040,Avenida Cesário Crosara,-18.901945,-48.280045,0,1732,222.4
20,258383040,Avenida Cesário Crosara,-18.901945,-48.280045,0,7984,55.1
21,258383050,Rua Sem Nome,-18.884287,-48.265786,0,3,179
21,258383050,Rua Sem Nome,-18.884287,-48.265786,0,21,0
21,258383050,Rua Sem Nome,-18.884287,-48.265786,0,12247,84.1
22,258383052,Avenida Morum Bernardino,-18.897407,-48.292036,0,22,0
22,258383052,Avenida Morum Bernardino,-18.897407,-48.292036,0,7807,11.9
22,258383052,Avenida Morum Bernardino,-18.897407,-48.292036,0,12314,40.9
23,258383054,Praça Clarinda de Freitas,-18.895929,-48.278714,0,23,0
23,258383054,Praça Clarinda de Freitas,-18.895929,-48.278714,0,7841,67.9
24,258383099,Rodovia BR-365,-18.910148,-48.303026,0,24,0
24,258383099,Rodovia BR-365,-18.910148,-48.303026,0,2085,50.8
24,258383099,Rodovia BR-365,-18.910148,-48.303026,0,9128,14
25,258383100,Rodovia BR-365,-18.910471,-48.30325,0,25,0
25,258383100,Rodovia BR-365,-18.910471,-48.30325,0,1734,24
26,258383105,Avenida Marcos de Freitas Costa,-18.914412,-48.300412,108,26,0
26,258383105,Avenida Marcos de Freitas Costa,-18.914412,-48.300412,108,1871,21.7
26,258383105,Avenida Marcos de Freitas Costa,-18.914412,-48.300412,108,9464,116.6
27,258383107,Praça dos Pioneiros,-18.911099,-48.303176,0,27,0
27,258383107,Praça dos Pioneiros,-18.911099,-48.303176,0,1733,17.6
28,338642603,Praça Clarinda de Freitas,-18.896399,-48.278207,0,28,0
28,338642603,Praça Clarinda de Freitas,-18.896399,-48.278207,0,29,56.3
29,338642604,Rua Ademar Margonari,-18.896324,-48.277692,0,29,0
29,338642604,Rua Ademar Margonari,-18.896324,-48.277692,0,30,48.9
29,338642604,Rua Ademar Margonari,-18.896324,-48.277692,0,4887,95.8
30,338642605,Praça Clarinda de Freitas,-18.895985,-48.277411,0,30,0
30,338642605,Praça Clarinda de Freitas,-18.895985,-48.277411,0,4879,114.7
30,338642605,Praça Clarinda de Freitas,-18.895985,-48.277411,0,7808,12.9
31,338642607,Praça Clarinda de Freitas,-18.895144,-48.277914,0,31,0
31,338642607,Praça Clarinda de Freitas,-18.895144,-48.277914,0,32,42.8
31,338642607,Praça Clarinda de Freitas,-18.895144,-48.277914,0,7876,107.2
32,338642608,Praça Clarinda de Freitas,-18.895178,-48.278314,0,32,0
32,338642608,Praça Clarinda de Freitas,-18.895178,-48.278314,0,493,9.7
32,338642608,Praça Clarinda de Freitas,-18.895178,-48.278314,0,9699,36.5
33,338642625,Avenida Monsenhor Eduardo,-18.892257,-48.275993,0,33,0
33,338642625,Avenida Monsenhor Eduardo,-18.892257,-48.275993,0,37,186.7
33,338642625,Avenida Monsenhor Eduardo,-18.892257,-48.275993,0,6885,15.6
